2025-06-11 06:51:04,402 - INFO - Chapter: Chapter 1.2, URL: https://komiku.org/dandadan-chapter-1-2/
2025-06-11 06:51:04,402 - INFO - Chapter: Chapter 1.1, URL: https://komiku.org/dandadan-chapter-1-1/
2025-06-11 06:51:08,342 - INFO - Gambar 2424992-1.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599468/greedycomichub/dandadan/chapter_1.1/n0bznch3o8lbqilygcfe.jpg
2025-06-11 06:51:09,865 - INFO - Gambar 2424992-2.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599469/greedycomichub/dandadan/chapter_1.1/n2bt2jzmeim6ak2x3pzc.jpg
2025-06-11 06:51:11,793 - INFO - Gambar 2424992-3.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599471/greedycomichub/dandadan/chapter_1.1/plytvrr3mxnbmvsgxqcr.jpg
2025-06-11 06:51:13,315 - INFO - Gambar 2424992-4.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599473/greedycomichub/dandadan/chapter_1.1/upxbzrmtue7i39a86i54.jpg
2025-06-11 06:51:15,502 - INFO - Gambar 2424992-5.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599475/greedycomichub/dandadan/chapter_1.1/nsvlfhotgry1nmzwaf5r.jpg
2025-06-11 06:51:17,768 - INFO - Gambar 2424992-6.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599477/greedycomichub/dandadan/chapter_1.1/rg8pacunz6s7nfxfp30u.jpg
2025-06-11 06:51:19,904 - INFO - Gambar 2424992-7.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599479/greedycomichub/dandadan/chapter_1.1/xp38irpon9csvqq8o4c7.jpg
2025-06-11 06:51:21,817 - INFO - Gambar 2424992-8.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599481/greedycomichub/dandadan/chapter_1.1/o7oxujffq4rdblhcriru.jpg
2025-06-11 06:51:23,698 - INFO - Gambar 2424992-9.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599483/greedycomichub/dandadan/chapter_1.1/mwj90zzgafrbsv550qwr.jpg
2025-06-11 06:51:26,254 - INFO - Gambar 2424992-10.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599485/greedycomichub/dandadan/chapter_1.1/ewxgxmlls1ow9lhtwspy.jpg
2025-06-11 06:51:27,559 - INFO - Gambar 2424992-11.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599487/greedycomichub/dandadan/chapter_1.1/xxqh7vpmpvicfwg5rckf.jpg
2025-06-11 06:51:29,446 - INFO - Gambar 2424992-12.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599489/greedycomichub/dandadan/chapter_1.1/hmgr8kizbg6wonrjmqyk.jpg
2025-06-11 06:51:31,280 - INFO - Gambar 2424992-13.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599491/greedycomichub/dandadan/chapter_1.1/bjj1xrmns4xrubyuv85w.jpg
2025-06-11 06:51:34,156 - INFO - Gambar 2424992-14.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599493/greedycomichub/dandadan/chapter_1.1/ohtclzhayuklk0ziywj9.jpg
2025-06-11 06:51:36,200 - INFO - Gambar 2424992-15.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599496/greedycomichub/dandadan/chapter_1.1/e6qrtvsktdg6ugxqkofq.jpg
2025-06-11 06:51:37,947 - INFO - Gambar 2424992-16.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599497/greedycomichub/dandadan/chapter_1.1/jdgve5rexnsqvjlqt5yc.jpg
2025-06-11 06:51:39,718 - INFO - Gambar 2424992-17.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599499/greedycomichub/dandadan/chapter_1.1/nh6m29ko6tw6iaeorpvq.jpg
2025-06-11 06:51:41,387 - INFO - Gambar 2424992-18.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599501/greedycomichub/dandadan/chapter_1.1/ekwq3hujgcvbf6acxvwg.jpg
2025-06-11 06:51:43,173 - INFO - Gambar 2424992-19.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599503/greedycomichub/dandadan/chapter_1.1/nobfqj4ybkvw3zlbgxo3.jpg
2025-06-11 06:51:44,420 - INFO - Gambar 2424992-20.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599504/greedycomichub/dandadan/chapter_1.1/ta1ykayhbdfc96faxr8j.jpg
2025-06-11 06:51:46,170 - INFO - Gambar 2424992-21.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599506/greedycomichub/dandadan/chapter_1.1/p2bnqbnsunsbml4bnnkm.jpg
2025-06-11 06:51:48,135 - INFO - Gambar 2424992-22.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599507/greedycomichub/dandadan/chapter_1.1/y0lwz8v1lufwcozjwyep.jpg
2025-06-11 06:51:49,931 - INFO - Gambar 2424992-23.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599509/greedycomichub/dandadan/chapter_1.1/seisy3rqobvzfml3pl4h.jpg
2025-06-11 06:51:51,687 - INFO - Gambar 2424992-24.jpg diupload ke Cloudinary: https://res.cloudinary.com/devjnr9d6/image/upload/v1749599511/greedycomichub/dandadan/chapter_1.1/tisfmhxwib8zktqo5bhd.jpg
